S.No.,date,day,population,area,genotype_id,Flower_id,treatment,length_mm,width_mm,ratio_len_wid,Flower_size,tunnel_length,entr_length,entr_height,tunnel_volume_cm,bp_area,fruit,seed,seed_weight
47,2024-02-25,19,NET,GREEN,N049,49.1,CONTROL,58.8,56.1,1.0481283422459893,32.986799999999995,28.7,13.5,8.2,3.1770899999999997,8.519,0.0,0.0,
48,2024-02-25,19,NET,GREEN,N050,50.1,CONTROL,75.8,61.4,1.2345276872964168,46.541199999999996,30.3,13.0,8.1,3.1905900000000003,6.755,0.0,0.0,
49,2024-02-25,19,NET,GREEN,N050,50.2,CONTROL,69.1,57.4,1.2038327526132404,39.663399999999996,30.0,12.7,7.1,2.7051,11.416,0.0,0.0,
50,2024-02-25,19,NET,GREEN,N050,50.3,CONTROL,63.8,53.8,1.1858736059479553,34.3244,30.3,12.1,6.9,2.5297470000000004,6.779,1.0,32.0,0.62
51,2024-02-25,19,NET,GREEN,N192,192.4,SUPP,79.4,69.9,1.1359084406294706,55.500600000000006,35.6,17.0,8.2,4.96264,7.264,0.0,0.0,
52,2024-02-25,19,NET,GREEN,N192,192.5,SUPP,80.4,63.8,1.2601880877742948,51.2952,36.8,17.7,9.7,6.318191999999998,6.619,1.0,5.0,0.19
53,2024-02-25,19,NET,GREEN,N191,191.5,CONTROL,74.2,68.7,1.0800582241630277,50.9754,35.3,13.1,8.2,3.7919259999999997,12.15,1.0,4.0,0.14
54,2024-02-25,19,NET,GREEN,N191,191.6,CONTROL,78.2,60.0,1.3033333333333335,46.92,34.5,14.8,7.1,3.62526,9.435,1.0,27.0,1.02
55,2024-02-25,19,NET,GREEN,N193,193.3,CONTROL,79.5,72.0,1.1041666666666667,57.24,34.7,12.9,7.6,3.4019880000000002,5.658,1.0,8.0,0.18
56,2024-02-25,19,NET,GREEN,N193,193.4,CONTROL,80.2,72.7,1.1031636863823935,58.305400000000006,34.4,14.5,10.9,5.43692,5.077,0.0,0.0,0.04
57,2024-02-25,19,NET,GREEN,N193,193.5,CONTROL,82.7,74.1,1.1160593792172742,61.280699999999996,33.5,15.0,8.0,4.02,7.533,1.0,17.0,0.56
58,2024-02-25,19,NET,GREEN,N193,193.6,CONTROL,78.1,70.5,1.1078014184397162,55.06049999999999,30.2,15.3,9.1,4.204746,7.988,0.0,0.0,
59,2024-02-25,19,NET,GREEN,N193,193.7,CONTROL,82.0,70.8,1.1581920903954803,58.056,30.5,13.7,10.4,4.3456399999999995,6.987,1.0,19.0,0.4
60,2024-02-25,19,NET,PINK,N075,75.1,SUPP,93.6,81.1,1.154130702836005,75.9096,36.8,13.0,8.9,4.25776,6.492,1.0,8.0,0.4
61,2024-02-25,19,NET,PINK,N177,177.1,SUPP,76.0,71.6,1.0614525139664805,54.416,32.0,11.8,6.5,2.4544,6.201,0.0,0.0,
62,2024-02-25,19,NET,PINK,N167,167.1,CONTROL,100.6,80.6,1.2481389578163773,81.08359999999999,38.2,17.0,8.1,5.260140000000001,7.153,1.0,23.0,0.84
63,2024-02-25,19,NET,PINK,N178,178.1,CONTROL,89.7,71.1,1.2616033755274263,63.7767,38.2,15.9,9.7,5.891586,7.348,0.0,0.0,
64,2024-02-25,19,NET,PINK,N178,178.2,CONTROL,89.2,71.7,1.2440725244072524,63.9564,33.9,14.6,7.8,3.860531999999999,7.945,0.0,0.0,
65,2024-02-25,19,NET,PINK,N178,178.3,CONTROL,90.3,72.0,1.2541666666666667,65.01599999999999,36.4,15.7,8.3,4.743284,6.785,0.0,0.0,
66,2024-02-25,19,NET,ORANGE,N195,195.1,SUPP,86.3,78.6,1.0979643765903309,67.83179999999999,39.7,15.6,11.3,6.998316000000001,8.471,1.0,5.0,0.1
67,2024-02-25,19,NET,ORANGE,N195,195.2,SUPP,77.4,69.2,1.1184971098265897,53.56080000000001,36.9,13.9,10.0,5.129099999999999,8.81,0.0,0.0,
68,2024-02-25,19,NET,ORANGE,N234,234.1,CONTROL,84.6,70.4,1.2017045454545452,59.5584,36.1,17.6,10.5,6.671280000000001,9.588,0.0,0.0,
69,2024-02-25,19,NET,BLUE,N012,12.1,SUPP,75.8,67.3,1.12630014858841,51.01339999999999,34.2,13.0,8.8,3.9124800000000004,7.737,0.0,0.0,
70,2024-02-25,19,NET,BLUE,N190,190.3,CONTROL,83.7,71.4,1.1722689075630253,59.7618,31.6,13.1,8.4,3.477264,9.877,1.0,25.0,0.98
71,2024-02-25,19,NET,BLUE,N170,170.1,CONTROL,68.5,55.8,1.2275985663082438,38.223,30.4,12.5,5.9,2.242,8.234,1.0,29.0,0.9
72,2024-02-25,19,NET,BROWN,N131,131.1,CONTROL,69.9,58.6,1.1928327645051195,40.961400000000005,32.8,9.8,6.7,2.153648,7.506,1.0,11.0,0.48
73,2024-02-25,19,NET,BROWN,N131,131.2,CONTROL,78.8,65.7,1.1993911719939117,51.7716,37.0,14.0,7.1,3.6777999999999995,8.774,0.0,0.0,
74,2024-02-29,23,NET,RED,N194,194.3,SUPP,78.6,69.2,1.1358381502890171,54.3912,33.4,13.8,8.0,3.68736,9.37,1.0,26.0,0.62
75,2024-02-29,23,NET,RED,N194,194.4,SUPP,81.4,68.4,1.1900584795321638,55.67760000000001,35.7,14.1,12.0,6.04044,8.088,0.0,0.0,
76,2024-02-29,23,NET,GREEN,N187,187.6,CONTROL,93.4,75.0,1.2453333333333334,70.05,36.8,15.7,10.9,6.297583999999999,6.588,0.0,0.0,
77,2024-02-29,23,NET,GREEN,N043,43.1,CONTROL,75.0,67.8,1.1061946902654867,50.85,33.5,12.3,7.3,3.007965,8.794,1.0,58.0,2.1
78,2024-02-29,23,NET,GREEN,N192,192.6,SUPP,81.8,67.1,1.219076005961252,54.8878,34.9,12.3,10.4,4.464408000000001,6.071,1.0,37.0,1.28
79,2024-02-29,23,NET,GREEN,N192,192.7,SUPP,77.8,62.1,1.252818035426731,48.3138,31.1,10.8,9.9,3.3252120000000005,5.517,1.0,28.0,0.72
80,2024-02-29,23,NET,GREEN,N051,51.2,CONTROL,71.8,68.6,1.0466472303206997,49.254799999999996,38.2,16.3,9.3,5.790738000000001,8.161,0.0,0.0,
81,2024-02-29,23,NET,GREEN,N051,51.3,CONTROL,70.1,65.4,1.0718654434250763,45.8454,33.7,13.8,8.6,3.9995160000000007,6.424,0.0,0.0,
82,2024-02-29,23,NET,GREEN,N191,191.7,CONTROL,72.7,62.8,1.157643312101911,45.65560000000001,37.3,15.9,8.9,5.278322999999999,6.744,1.0,31.0,0.96
83,2024-02-29,23,NET,GREEN,N191,191.8,CONTROL,61.9,54.0,1.1462962962962964,33.426,31.0,12.0,10.9,4.0548,7.213,0.0,0.0,
84,2024-02-29,23,NET,GREEN,N196,196.1,SUPP,78.4,70.5,1.1120567375886525,55.272000000000006,33.9,14.6,8.8,4.355472,8.54,1.0,,
85,2024-02-29,23,NET,GREEN,N196,196.2,SUPP,72.4,68.6,1.055393586005831,49.6664,35.3,13.6,9.7,4.656775999999999,8.652,0.0,0.0,
86,2024-02-29,23,NET,GREEN,N197,197.1,CONTROL,97.7,79.8,1.224310776942356,77.9646,38.0,15.0,9.0,5.13,8.751,1.0,22.0,0.9
87,2024-02-29,23,NET,GREEN,N197,197.2,CONTROL,93.0,93.9,0.9904153354632588,87.32700000000001,35.8,12.4,7.9,3.5069679999999996,9.223,1.0,6.0,0.27
88,2024-02-29,23,NET,PINK,N178,178.4,CONTROL,89.3,77.1,1.158236057068742,68.85029999999999,35.0,12.3,8.9,3.8314500000000002,7.624,1.0,44.0,0.6
89,2024-02-29,23,NET,PINK,N198,198.1,SUPP,81.6,74.2,1.099730458221024,60.547200000000004,33.3,10.2,7.8,2.6493479999999994,7.725,1.0,2.0,0.1
90,2024-02-29,23,NET,PINK,N198,198.2,SUPP,84.3,77.6,1.0863402061855671,65.4168,29.9,13.1,6.8,2.6634919999999997,6.79,0.0,0.0,
91,2024-02-29,23,NET,PINK,N198,198.3,SUPP,84.3,79.8,1.056390977443609,67.2714,30.7,11.1,5.2,1.772004,6.778,1.0,14.0,0.22
92,2024-02-29,23,NET,PINK,N198,198.4,SUPP,84.3,77.8,1.083547557840617,65.58539999999999,36.4,11.1,9.2,3.717167999999999,6.948,1.0,23.0,1.0
93,2024-02-29,23,NET,PINK,N198,198.5,SUPP,82.0,78.8,1.0406091370558377,64.616,32.6,13.5,6.7,2.94867,8.425,1.0,,
94,2024-02-29,23,NET,PINK,N198,198.6,SUPP,81.8,80.1,1.021223470661673,65.5218,32.1,12.8,8.9,3.656832000000001,14.897,1.0,,
95,2024-02-29,23,NET,PINK,N198,198.7,SUPP,82.1,73.4,1.1185286103542234,60.2614,31.3,12.0,8.3,3.1174800000000005,10.885,1.0,9.0,0.3
96,2024-02-29,23,NET,PINK,N198,198.8,SUPP,81.2,78.3,1.0370370370370372,63.5796,33.8,13.6,9.1,4.183088,5.43,0.0,0.0,
97,2024-02-29,23,NET,ORANGE,N077,77.1,CONTROL,78.8,60.5,1.3024793388429752,47.674,33.9,13.1,6.8,3.019812,5.721,0.0,0.0,
98,2024-02-29,23,NET,ORANGE,N077,77.2,CONTROL,75.9,62.4,1.216346153846154,47.361599999999996,35.8,12.8,8.1,3.7117439999999995,6.938,0.0,0.0,
99,2024-02-29,23,NET,ORANGE,N900,900.1,CONTROL,63.1,50.3,1.2544731610337974,31.7393,25.2,14.0,7.8,2.75184,8.832,0.0,0.0,
100,2024-02-29,23,NET,BROWN,N017,17.1,SUPP,66.3,48.2,1.37551867219917,31.956599999999998,25.9,12.7,9.9,3.256407,6.314,1.0,7.0,0.23
101,2024-02-29,23,NET,BROWN,N131,131.3,CONTROL,84.2,67.3,1.25111441307578,56.666599999999995,37.0,16.3,8.0,4.8248,8.418,1.0,6.0,0.3
102,2024-02-29,23,NET,BLUE,N016,16.1,SUPP,71.7,63.0,1.138095238095238,45.17100000000001,31.3,12.3,6.3,2.425437,6.292,0.0,0.0,
103,2024-02-29,23,NET,BLUE,N199,199.1,CONTROL,77.3,69.7,1.1090387374461979,53.8781,29.5,11.5,9.8,3.32465,6.872,0.0,0.0,
104,2024-02-29,23,NET,BLUE,N111,111.2,SUPP,59.9,61.5,0.9739837398373984,36.838499999999996,25.6,,,,9.997,0.0,0.0,
105,2024-02-29,23,NET,BLUE,N190,190.4,CONTROL,79.9,62.5,1.2784,49.9375,28.7,11.7,6.1,2.0483189999999993,8.972,0.0,0.0,
106,2024-02-29,23,NET,BLUE,N190,190.5,CONTROL,79.8,69.1,1.1548480463096962,55.141799999999996,30.0,14.8,8.9,3.9516000000000004,9.377,0.0,0.0,
107,2024-02-29,23,NET,BLUE,N189,189.4,CONTROL,81.4,75.8,1.0738786279683379,61.7012,31.2,13.2,7.1,2.924064,9.956,1.0,7.0,0.24
108,2024-02-29,23,NET,BLUE,N012,12.2,SUPP,79.4,63.9,1.2425665101721441,50.736599999999996,32.0,11.2,5.6,2.00704,10.484,1.0,48.0,1.7
109,2024-02-29,23,NET,BLUE,N012,12.3,SUPP,87.9,77.5,1.1341935483870969,68.1225,35.7,11.2,6.5,2.59896,6.372,1.0,15.0,0.88
110,2024-02-29,23,NET,BLUE,N006,6.1,SUPP,83.9,61.6,1.3620129870129871,51.68240000000001,32.1,14.5,8.4,3.9097800000000005,9.664,1.0,3.0,0.2
111,2024-03-06,29,NET,RED,N910,910.1,SUPP,81.3,57.8,1.406574394463668,46.99139999999999,31.0,11.3,9.8,3.4329400000000003,6.043,0.0,0.0,
112,2024-03-06,29,NET,GREEN,N181,181.1,SUPP,67.8,59.7,1.1356783919597988,40.4766,26.4,10.3,7.5,2.0394,6.967,1.0,2.0,0.12
113,2024-03-06,29,NET,GREEN,N043,43.2,CONTROL,70.6,63.1,1.1188589540412044,44.54859999999999,30.7,14.0,12.4,5.3295200000000005,9.208,1.0,9.0,0.5
114,2024-03-06,29,NET,GREEN,N191,191.9,CONTROL,72.4,59.5,1.2168067226890757,43.078,28.8,12.5,9.0,3.24,8.79,0.0,0.0,
115,2024-03-06,29,NET,GREEN,N188,188.11,CONTROL,82.7,89.7,0.9219620958751393,74.1819,33.0,14.4,9.4,4.46688,6.784,1.0,,
116,2024-03-06,29,NET,PINK,N056,56.4,CONTROL,64.4,57.4,1.1219512195121952,36.9656,29.6,9.5,9.1,2.5589199999999996,7.265,0.0,0.0,
117,2024-03-06,29,NET,PINK,N056,56.5,CONTROL,65.8,57.8,1.1384083044982698,38.032399999999996,28.8,11.3,7.1,2.3106240000000002,6.35,1.0,14.0,0.44
118,2024-03-06,29,NET,ORANGE,N195,195.3,SUPP,95.8,83.3,1.150060024009604,79.8014,38.2,11.9,8.7,3.954846,9.778,1.0,2.0,0.08
119,2024-03-06,29,NET,BROWN,N200,200.1,SUPP,63.8,57.0,1.119298245614035,36.366,31.0,15.7,8.6,4.18562,7.339,1.0,6.0,0.21
120,2024-03-06,29,NET,BROWN,N200,200.2,SUPP,67.8,54.9,1.2349726775956285,37.2222,28.0,10.3,7.2,2.0764800000000005,8.223,1.0,3.0,0.16
121,2024-03-06,29,NET,BROWN,N200,200.3,SUPP,67.7,58.0,1.1672413793103449,39.266000000000005,34.5,15.2,9.2,4.824479999999999,7.644,0.0,0.0,
122,2024-03-06,29,NET,BLUE,N012,12.4,SUPP,70.4,66.1,1.0650529500756432,46.5344,32.6,14.0,8.5,3.8794,5.038,1.0,52.0,
123,2024-03-06,29,NET,BLUE,N012,12.5,SUPP,66.9,59.8,1.1187290969899668,40.00620000000001,29.8,12.4,8.6,3.1778720000000003,6.673,1.0,12.0,0.3
124,2024-03-06,29,NET,BLUE,N090,90.1,CONTROL,75.5,60.9,1.2397372742200328,45.9795,36.3,9.9,5.1,1.8327869999999997,7.489,1.0,34.0,1.1
125,2024-03-06,29,NET,BLUE,N098,98.1,SUPP,70.5,65.2,1.081288343558282,45.966,34.3,10.8,6.9,2.556036,10.928,1.0,2.0,0.06
126,2024-03-06,29,NET,BLUE,N103,103.1,SUPP,56.7,54.1,1.0480591497227356,30.6747,31.6,10.1,6.2,1.978792,11.095,1.0,39.0,1.74
127,2024-03-06,29,NET,BLUE,N199,199.2,CONTROL,75.0,53.5,1.4018691588785046,40.125,32.6,11.3,7.4,2.7260120000000008,9.072,0.0,0.0,
128,2024-03-14,37,NET,GREEN,N193,193.8,CONTROL,76.8,68.5,1.1211678832116787,52.608000000000004,36.2,9.9,8.5,3.0462300000000004,8.665,0.0,0.0,
129,2024-02-08,2,KUR,GREEN,K210,210.1,SUPP,75.6,60.9,1.2413793103448276,46.0404,30.1,12.0,9.5,3.4314000000000004,7.826,1.0,34.0,1.58
130,2024-02-08,2,KUR,GREEN,K210,210.2,SUPP,80.1,62.3,1.2857142857142856,49.9023,28.3,13.7,7.3,2.830283,7.192,1.0,11.0,0.58
131,2024-02-08,2,KUR,GREEN,K210,210.3,SUPP,72.9,58.5,1.2461538461538462,42.6465,28.4,11.1,8.9,2.8056359999999994,7.251,0.0,0.0,
132,2024-02-08,2,KUR,BROWN,K211,211.1,CONTROL,74.8,61.2,1.222222222222222,45.7776,27.5,13.1,9.7,3.4944249999999997,7.462,0.0,0.0,
133,2024-02-08,2,KUR,Yellow,K212,212.1,CONTROL,81.3,64.6,1.258513931888545,52.5198,31.0,11.3,9.8,3.4329400000000003,7.169,1.0,8.0,0.3
134,2024-02-08,2,KUR,Yellow,K212,212.2,CONTROL,78.2,69.8,1.1203438395415473,54.5836,30.1,12.4,6.2,2.3140880000000004,6.742,1.0,22.0,0.8
135,2024-02-08,2,KUR,Yellow,K212,212.3,CONTROL,72.9,70.3,1.0369843527738265,51.2487,30.1,15.5,10.1,4.712155,9.647,0.0,0.0,
136,2024-02-08,2,KUR,Yellow,K213,213.1,CONTROL,63.8,54.2,1.177121771217712,34.5796,28.7,13.8,9.4,3.722964,5.505,0.0,0.0,
137,2024-02-08,2,KUR,Yellow,K213,213.2,CONTROL,58.6,55.2,1.0615942028985508,32.3472,32.9,13.5,7.1,3.1534649999999997,6.048,1.0,3.0,0.48
138,2024-02-08,2,KUR,Yellow,K136,136.1,CONTROL,72.0,55.4,1.2996389891696751,39.888,31.5,16.4,7.0,3.616199999999999,5.891,0.0,0.0,
139,2024-02-08,2,KUR,Yellow,K136,136.2,CONTROL,79.0,64.0,1.234375,50.56,34.2,13.0,11.2,4.97952,10.378,0.0,0.0,
140,2024-02-08,2,KUR,Yellow,K214,214.1,CONTROL,72.0,55.3,1.301989150090416,39.816,29.5,11.1,9.7,3.176265,7.127,0.0,0.0,
141,2024-02-15,9,KUR,GREEN,K210,210.4,CONTROL,75.4,63.3,1.1911532385466037,47.728199999999994,29.5,11.5,9.8,3.32465,5.678,1.0,29.0,0.76
