Entry,Entry_species,Species,Population,Date,ID,Flower_No.,Genotype,Length_mm,Width_mm,Ratio_len/wid,Multiplied,Multiplied_cm,Size category,Tunnel_len,Entr_len,Entr_Height,ID.1,Flowers_total,Marked,Wilted,Fruits_marked,Fruits_notmarked,Fruits_total,Fruit,seeds,weight,Avg.weight,Unnamed: 28,Unnamed: 29,Area,NET ID,No. flowers,Unnamed: 33,NO.,Group,Unnamed: 36,Unnamed: 37,ID.2,Size,No. flowers.1,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,ID.3,Unnamed: 47,Size.1,No. flowers.2,Location,Unnamed: 51,Unnamed: 52,Unnamed: 53,ID.4,Unnamed: 55,Size.2,No. flowers.3,Location.1,Unnamed: 59,Yer-BASECAMP,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,ID.5,Unnamed: 70,Size.3,No. flowers.4,Location.2,Unnamed: 74,Unnamed: 75,Location.3,ID.6,Unnamed: 78,Size.4,No. flowers.5,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Area.1,NET ID.1,Tag,No. of flowers,Unnamed: 91,Area.2,NET ID.2,Tag.1,No. of flowers.1
173,251,I.petrana,YER,2023-03-22,7,1,YER_7.1,48.8,48.9,0.9979550102249488,2386.3199999999997,23.8632,S,30.0,11.4,9.4,7,5.0,2.0,3.0,2.0,3.0,5.0,1.0,3.0,103.9,34.63333333333333,,,,,,,167.0,Pink,,,,,,,,,,,,,,,,,,,,,,,,,173,Middle - right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
246,199,I.petrana,YER,2023-03-22,66,1,YER_66.1,50.2,50.0,1.004,2510.0,25.1,S,24.6,11.7,7.9,66,5.0,3.0,2.0,3.0,0.0,3.0,1.0,5.0,105.3,21.06,,,,,,,177.0,Pink,,,,,,,,,,,,,,,,,,,,,,,,,174,Left middle - far,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,141,I.petrana,YER,2023-03-19,18,1,YER_18.1,47.6,54.1,0.8798521256931608,2575.1600000000003,25.7516,S,25.1,14.4,9,18,5.0,2.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,,27.0,Red,,,,,,,,,,,,,,,,,,,,,,,,,174B,Middle - right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243,93,I.petrana,YER,2023-03-16,65,1,YER_65.1,39.0,47.7,0.8176100628930817,1860.3000000000002,18.603,S,22.6,12.0,7.6,65,4.0,3.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,28.0,Red,,,,,,,,,,,,,,,,,,,,,,,,,175,Middle - right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
443,58,I.petrana,YER,2023-03-16,902,1,YER_902.1,43.1,45.9,0.9389978213507626,1978.29,19.7829,S,22.4,15.2,12.9,902,4.0,2.0,2.0,2.0,1.0,3.0,1.0,10.0,180.0,18.0,,,,,,,29.0,Red,,,,,,,,,,,,,,,,,,,,,,,,,176,Middle - right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215,156,I.petrana,YER,2023-03-19,43,1,YER_43.1,41.3,51.4,0.8035019455252917,2122.8199999999997,21.228199999999998,S,19.8,9.3,8,43,4.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,30.0,Red,,,,,,,,,,,,,,,,,,,,,,,,,177,Middle - right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
330,181,I.petrana,YER,2023-03-19,137,1,YER_137.1,42.2,56.7,0.7442680776014109,2392.7400000000002,23.927400000000002,S,25.7,15.5,8.6,137,4.0,1.0,3.0,1.0,2.0,3.0,1.0,6.0,169.8,28.3,,,,,,,31.0,Red,,,,,,,,,,,,,,,,,,,,,,,,,178,Middle - right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
366,157,I.petrana,YER,2023-03-19,173,1,YER_173.1,45.4,58.0,0.7827586206896552,2633.2,26.332,S,23.0,13.2,13.5,173,4.0,2.0,2.0,2.0,1.0,3.0,1.0,9.0,347.0,38.55555555555556,,,,,,,32.0,Red,,,,,,,,,,,,,,,,,,,,,,,,,179,Middle - right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292,87,I.petrana,YER,2023-03-16,106,1,YER_106.1,44.8,51.9,0.8631984585741811,2325.12,23.251199999999994,S,23.3,10.1,6.3,106,3.0,1.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,,,,,,,33.0,Red,,,,,,,,,,,,,,,,,,,,,,,,,180,Middle - right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,143,I.petrana,YER,2023-03-19,17,1,YER_17.1,42.4,56.7,0.7477954144620811,2404.08,24.0408,S,21.5,11.3,6.7,17,3.0,1.0,2.0,1.0,1.0,2.0,1.0,19.0,409.1,21.531578947368423,,,,,,,34.0,Red,,,,,,,,,,,,,,,,,,,,,,,,,181,Hill - left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
