Entry,Entry_species,Species,Population,Date,Days,Day_fl,ID,Flower_No.,Genotype,Area,Length_mm,Width_mm,Ratio_len/wid,Multiplied,Multiplied_cm,Tunnel_len,Entr_len,Entr_Height,ID.1,Flowers_total,Marked,Wilted,Fruits_marked,Fruits_notmarked,Fruits_total,Fruit,Seeds,Relative fitness_seeds,Weight,Avg.weight,Fruit_set,Relative fitness_pop,Relative fitness_all,Seed_set_gen,Rel.fit.seeds.gen,Seed_set_efficiency,Rel.fit.seed.efficiency,Unnamed: 38,Unnamed: 39,AVG. Seeds,AVG. Fruit_set,AVG. Seed_set,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53
40,31,I.atropurpurea,NET,2023-02-26,13,14,175,3,NET_175.3,Blue,74.0,63.4,1.167192429022082,4691.599999999999,46.916000000000004,37.1,14.3,8.1,175,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,204,12,,,,,,200,3,31.8385
41,37,I.atropurpurea,NET,2023-03-05,20,21,176,1,NET_176.1,Blue,68.6,60.7,1.1301482701812189,4164.0199999999995,41.6402,29.1,16.2,8.2,176,1.0,1.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,205,0,,,,,,201,3,36.44956666666667
42,19,I.atropurpurea,NET,2023-02-21,8,9,234,1,NET_234.1,Orange,77.8,63.7,1.2213500784929356,4955.86,49.5586,,,,234,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,206,0,,,,,,202,3,36.92126666666667
43,41,I.atropurpurea,NET,2023-03-05,20,21,902,1,NET_902.1,Orange,77.2,63.9,1.2081377151799688,4933.08,49.3308,32.2,13.9,9.0,902,8.0,1.0,7.0,1.0,,,1.0,45.0,11.982248520710058,2128.5,47.3,,,,,,,,,,,,,,207,0,,,,,,203,2,32.72295
44,8,I.atropurpurea,NET,2023-02-21,8,9,907,1,NET_907.1,Green,74.54,66.2,1.1259818731117825,4934.548000000001,49.34548,28.2,16.2,7.2,907,4.0,1.0,3.0,1.0,0.0,1.0,1.0,7.0,1.863905325443787,280.2,40.028571428571425,0.25,1.9067796610169494,3.930892577138116,,,,,,,,,,,208,0,,,,,,204,6,43.49496666666667
45,6,I.atropurpurea,NET,2023-02-21,8,9,908,1,NET_908.1,Red,72.8,61.3,1.1876019575856445,4462.639999999999,44.6264,31.1,19.3,5.9,908,4.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,209,0,,,,,,205,2,36.7513
46,7,I.atropurpurea,NET,2023-02-21,8,9,908,2,NET_908.2,Red,63.6,67.0,0.9492537313432836,4261.2,42.612,25.4,15.8,6.3,908,,,,,,,,,,,,,,,,,,,,,,,,,NET,169,,,,,,206,2,31.641399999999997
47,47,I.atropurpurea,NET,2023-03-05,20,21,910,1,NET_910.1,Red,61.1,54.7,1.117001828153565,3342.17,33.42170000000001,27.4,12.8,8.0,910,13.0,4.0,9.0,,,,,,,,,,,,,,,,,,,,,,3,0,,,,,,207,2,52.3879
48,48,I.atropurpurea,NET,2023-03-05,20,21,910,2,NET_910.2,Red,67.7,56.4,1.200354609929078,3818.28,38.1828,27.1,11.8,6.7,910,,,,,,,,,,,,,,,,,,,,,,,,,10,14,,,,,,208,1,34.6888
49,49,I.atropurpurea,NET,2023-03-05,20,21,910,3,NET_910.3,Red,76.8,58.6,1.310580204778157,4500.48,45.0048,28.5,9.3,8.0,910,,,,,,,,,,,,,,,,,,,,,,,,,29,0,,,,,,209,4,40.608375
50,50,I.atropurpurea,NET,2023-03-05,20,21,910,4,NET_910.4,Red,55.2,50.0,1.104,2760.0,27.6,,,,910,,,,,,,,,,,,,,,,,,,,,,,,,34,0,,,,,,NET,52,45.06792076923078
51,33,I.atropurpurea,NET,2023-02-26,13,14,911,1,NET_911.1,Green,75.4,66.0,1.1424242424242426,4976.400000000001,49.764,29.5,14.0,7.8,911,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,47,0,,,,,,YER,295,31.77057016949154
52,52,I.atropurpurea,NET,2023-03-12,27,28,911,2,NET_911.2,Green,67.7,63.6,1.0644654088050314,4305.72,43.0572,26.8,12.0,8.0,911,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,49,0,,,,,,Grand Total,464,34.48089575431035
53,7,I.atropurpurea,KUR,2023-02-23,9,10,135,1,KUR_135.1,Yellow,64.1,58.3,1.0994854202401372,3737.0299999999993,37.37029999999999,25.7,12.2,9.6,135,2.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,5.844842785777255,12.049346650203674,,,,,,,,,,,51,0,,,,,,,,
54,42,I.atropurpurea,KUR,2023-03-01,15,16,136,1,KUR_136.1,Yellow,80.3,60.8,1.3207236842105263,4882.24,48.822399999999995,25.0,13.1,7.7,136,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,56,46,,,,,,,,
55,44,I.atropurpurea,KUR,2023-03-01,15,16,139,1,KUR_139.1,Yellow,65.3,58.4,1.1181506849315068,3813.5199999999995,38.1352,32.1,14.4,8.2,139,5.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,73,43,,,,,,,,
56,45,I.atropurpurea,KUR,2023-03-01,15,16,139,2,KUR_139.2,Yellow,62.8,54.2,1.158671586715867,3403.76,34.0376,,,,139,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,77,6,,,,,,,,
57,46,I.atropurpurea,KUR,2023-03-01,15,16,139,3,KUR_139.3,Yellow,64.2,57.5,1.1165217391304347,3691.5,36.915,28.9,14.7,7.4,139,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,80,0,,,,,,,,
58,85,I.atropurpurea,KUR,2023-03-08,22,23,140,1,KUR_140.1,Yellow,65.9,49.5,1.3313131313131314,3262.05,32.62050000000001,25.4,14.4,6.0,140,7.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,87,0,,,,,,,,
59,86,I.atropurpurea,KUR,2023-03-08,22,23,140,2,KUR_140.2,Yellow,48.4,61.5,0.7869918699186992,2976.6,29.766000000000002,,,,140,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,104,0,,,,,,,,
60,87,I.atropurpurea,KUR,2023-03-08,22,23,140,3,KUR_140.3,Yellow,43.6,37.6,1.1595744680851063,1639.3600000000001,16.393600000000003,21.8,12.9,8.1,140,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,115,0,,,,,,,,
