Entry,Entry_species,Species,Population,Date,ID,Flower_No.,Length_mm,Width_mm,Ratio_len/wid,Multiplied,Multiplied_cm,Tunnel_len,Entr_len,Entr_Height,Photo_ID,Comments,Flowers_total,Marked,Wilted,Fruits_marked,Fruits_notmarked,Fruits_total,Fruit,seeds,weight,Avg.weight
69,76,I.atropurpurea,KUR,2023-03-08,159,2,46.3,43.5,1.0643678160919539,2014.05,20.1405,21.8,11.2,8.4,112825,,,,,,,,0.0,0.0,0.0,0.0
70,77,I.atropurpurea,KUR,2023-03-08,159,3,42.0,41.9,1.0023866348448687,1759.8,17.598,21.3,10.7,7.1,112836,,,,,,,,0.0,0.0,0.0,0.0
71,78,I.atropurpurea,KUR,2023-03-08,159,4,44.1,41.4,1.065217391304348,1825.74,18.2574,21.6,10.4,7.1,112851,Lost,,,,,,,,,,
72,79,I.atropurpurea,KUR,2023-03-08,159,5,51.4,46.3,1.1101511879049677,2379.8199999999997,23.798199999999998,22.0,12.2,7.7,112911,,,,,,,,0.0,0.0,0.0,0.0
73,80,I.atropurpurea,KUR,2023-03-08,159,6,44.1,42.4,1.0400943396226416,1869.84,18.698400000000003,,,,113003,,,,,,,,0.0,0.0,0.0,0.0
74,81,I.atropurpurea,KUR,2023-03-08,159,7,39.7,37.7,1.0530503978779842,1496.6900000000003,14.966900000000003,19.0,11.2,5.7,113003,,,,,,,,0.0,0.0,0.0,0.0
75,82,I.atropurpurea,KUR,2023-03-08,159,8,45.0,41.7,1.079136690647482,1876.5000000000002,18.765,,,,113034,,,,,,,,0.0,0.0,0.0,0.0
76,83,I.atropurpurea,KUR,2023-03-08,159,9,45.0,43.2,1.0416666666666665,1944.0000000000002,19.44,,,,113050,,,,,,,,0.0,0.0,0.0,0.0
77,68,I.atropurpurea,KUR,2023-03-08,162,1,63.9,56.0,1.1410714285714285,3578.4,35.784,25.9,12.6,7.5,94947,F cut,2.0,2.0,0.0,,0.0,,0.0,0.0,0.0,0.0
78,69,I.atropurpurea,KUR,2023-03-08,162,2,66.2,61.7,1.072933549432739,4084.5400000000004,40.8454,25.3,11.1,5.9,95007,F cut,,,,,,,,,,
79,52,I.atropurpurea,KUR,2023-03-01,163,1,59.7,56.3,1.0603907637655419,3361.11,33.6111,28.5,14.0,6.7,123208,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,60,I.atropurpurea,KUR,2023-03-01,165,1,64.8,57.4,1.1289198606271778,3719.5199999999995,37.1952,28.0,9.8,9.8,141936,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,54,I.atropurpurea,KUR,2023-03-01,169,1,66.2,54.0,1.225925925925926,3574.8,35.748000000000005,29.3,11.5,9.9,130434,,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,2,I.atropurpurea,KUR,2023-02-14,170,1,65.5,60.0,1.0916666666666666,3930.0,39.3,31.5,12.1,8.6,114341,"Disformed flower, F cut",1.0,1.0,0.0,,0.0,,,,,
83,57,I.atropurpurea,KUR,2023-03-01,172,1,92.7,71.3,1.300140252454418,6609.51,66.0951,32.6,16.1,7.9,133022,F cut,1.0,1.0,0.0,,0.0,,,,,
84,64,I.atropurpurea,KUR,2023-03-01,177,1,73.1,62.1,1.1771336553945249,4539.509999999999,45.3951,27.4,14.3,8.3,144506,,5.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,65,I.atropurpurea,KUR,2023-03-01,177,2,71.5,62.8,1.138535031847134,4490.2,44.902,29.5,11.6,10.4,144512,,,,,,,,0.0,0.0,0.0,0.0
86,19,I.atropurpurea,KUR,2023-02-23,179,1,61.1,53.6,1.1399253731343284,3274.96,32.7496,24.4,11.6,9.2,111357,,6.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,55,I.atropurpurea,KUR,2023-03-01,179,2,65.7,58.5,1.123076923076923,3843.4500000000003,38.4345,,,,131215,,,,,,,,0.0,0.0,0.0,0.0
88,1,I.atropurpurea,KUR,2023-02-14,183,1,63.1,58.1,1.0860585197934596,3666.11,36.661100000000005,26.9,11.8,7.6,112406+112411,,4.0,2.0,2.0,,0.0,,0.0,0.0,0.0,0.0
89,112,I.atropurpurea,KUR,2023-03-13,183,2,62.6,53.3,1.174484052532833,3336.58,33.3658,28.0,11.3,8.9,114332,F cut,,,,,,,,,,
